,buyers,contract_value,suppliers
4509,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,35380.06,ROJAS MORA JORGE _ _
4510,Comisión Nacional de Acuacultura y Pesca,34034.4,SEGURIDAD PRIVADA INTEGRAL DE AUTOSERVICIO SA DE CV
4511,Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos,261000,YOUR BRAIN SC
4512,Secretaría de Marina,0,SERVICIOS ESPECIALIZADOS DE ABASTECIMIENTO SC
4514,Comisión Nacional del Agua,188780.72,COMERCIAL DE LA ALTA CALIFORNIA S. DE R.L. DE C.V.
4515,Secretaría de Comunicaciones y Transportes,0,EDENRED MEXICO SA DE CV
4516,Centro SCT Colima,86371.28,RICARDO URIBE CLARIN
4517,Secretaría de Comunicaciones y Transportes,0,GRUPO CONSTRUCTOR ROYNER SA DE CV
4518,Dirección General de Educación Militar y Rectoría de la Universidad del Ejército y Fuerza Aérea,44504.56,"SANJIVAN, S.A. DE C.V."
4519,Instituto Nacional de Medicina Genómica,20671.2,PRODUCTOS Y EQUIPOS BIOTECNOLOGICOS  S.A. DE C.V.
4520,Instituto Nacional de las Personas Adultas Mayores,1143928.49,CONSULTORIA PROFESIONAL EN PROYECTOS DE INGENIERIA S.A. DE C.V.
4521,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,126424,SUMINISTROS MEDICOS DEL CENTRO SA DE CV
4522,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,415648.68,DEGASA SA DE CV
4523,Centro de Enseñanza Técnica Industrial,348510.39999999997,"DESPACHO POTENCIAL HUMANO, S.A. DE C.V."
4524,Instituto Nacional de Neurología y Neurocirugía Manuel Velasco Suárez,263848.95,DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV
4525,Instituto Nacional de Medicina Genómica,12470,LIBERTY INSTRUMENTS DE MEXICO SA DE CV
4526,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,27066.28,ESPECIALISTAS EN ESTERILIZACION Y ENVASE SA DE CV
4527,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,32016,DISTRIBUIDORA HECAR SA DE CV
4528,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,43867.2,FARMACEUTICOS MAYPO SA DE CV
4529,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,26198.55,GRUPO FARMACOS ESPECIALIZADOS S.A. DE C.V.
4530,Secretaría de Comunicaciones y Transportes,0,CONSTRUCCIONES GOMEZ LOZANO SA DE CV
4531,Instituto Nacional de Neurología y Neurocirugía Manuel Velasco Suárez,8272.7,DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV
4532,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,25720,LABORATORIOS PISA SA DE CV
4533,Instituto de Administración y Avalúos de Bienes Nacionales,0,GLOBAL APPRAISALS SA DE CV
4534,Televisión Metropolitana S.A. de C.V.,306240,GERMAN ORTEGA CHAVEZ
4535,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,103182,"BAHNSEN G, S.A. DE C.V."
4536,Instituto Nacional de Pediatría,123761.56,PROVEEDORA NACIONAL DE MATERIAL DE CURACION SA DE CV
4537,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,3099999.99,"BUFETE DE CONSULTORIA APLICADA, S.C."
4538,"Centros de Integración Juvenil, A.C.",0,"BODEGAS CERO GRADOS, S.A. DE C.V."
4539,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,212170.55,MEDICAL RECOVERY SA DE CV
4540,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,204074.51,PROVEEDORA NACIONAL DE MATERIAL DE CURACION SA DE CV
4542,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,29981.45,"HI TEC MEDICAL, S.A. DE C.V."
4543,Instituto Nacional de Pediatría,187823.02,DAVID ALBERTO PEDROZA GARCIA
4544,Fondo Nacional de Fomento al Turismo,814450.23,"INFRAESTRUCTURE DESIGN AND PLANING, S DE RL DE CV"
4546,"Hospital General de México ""Dr. Eduardo Liceaga""",464000,"GRITED, S.A. DE C.V."
4547,Consejo Nacional para Prevenir la Discriminación,66880.56,ROSSANA ELISA HERNANDEZ DAVILA
4549,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,177010.5,FARMACEUTICOS MAYPO SA DE CV
4551,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,63328.75,INSTRUMENTOS MEDICOS INTERNACIONALES SA DE CV
4552,Centro SCT Baja California,353684.57,GRUPO PROMOTOR ARIES S.A. DE C.V.
4553,Administración Federal de Servicios Educativos en el Distrito Federal,0,ABASTECEDORA RUGROS SA DE CV
4557,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,NELLY GALVEZ GALVEZ
4559,Comisión Nacional Bancaria y de Valores,0,ESTRELLA PAOLA HERNANDEZ VAZQUEZ
4560,Dirección General de Carreteras,4099970.52,PROFESIONALES EN ADMINISTRACION PUBLICA S.C.
4561,Instituto de Administración y Avalúos de Bienes Nacionales,0,JORGE SANCHEZ ZEPEDA
4562,Servicio de Protección Federal,348000,ASESORES ACTUALIZADOS SA DE CV
4563,Fideicomiso de los Sistemas Normalizado de Competencia Laboral y de Certificación de Competencia Laboral,146013.99,CESAR RENE GOMEZ GARCIA
4564,Coordinación Nacional de PROSPERA Programa de Inclusión Social,395560,"COVARRUBIAS Y ASOCIADOS, S.C.AV."
4565,Instituto Nacional de Salud Pública,88642.56,MIRSA JULISSA CORDOVA  GIRON
4566,Comisión Nacional Forestal,181823.04,OSCAR VALADEZ GUERRERO
4567,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,151509.92,JAVIER DE LA MADRID TORICES
4570,Procuraduría Federal de la Defensa del Trabajo,187685,"EL MUNDO ES TUYO, S.A. DE C.V."
4571,Centro Nacional de Metrología,278400,"ANALYTICAL CONTROL, S.A DE C.V."
4572,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,1020103.72,GRUPO RUVEL SA DE CV
4573,Secretaría de Cultura,0,EDITORIAL SEXTO PISO SA DE CV
4574,Instituto Nacional de Neurología y Neurocirugía Manuel Velasco Suárez,950042.4,PROVEEDORA ESPECIALIZADA DE MEDICAMENTOS  S.A. DE C.V.
4575,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,984806.55,GRUPO RUVEL SA DE CV
4576,Instituto Mexicano de Cinematografía,481211.5,EDICIONES CORUNDA SA DE CV
4577,Dirección General de Construcciones Navales,2874246.26,GRUPOINDUSTRIALCASCOSSADECV
4579,Instituto Nacional de Cancerología,810028,FENIX IT SOLUTIONS SA DE CV
4580,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,48672.44,LD  I  ASSOCIATS  S A  DE  C V
4582,Servicio de Protección Federal,71344.8,ELECTROPURA S DE RL DE CV
4583,Centro SCT Sinaloa,1329915.59,TOBOCAL S.A. DE C.V.
4585,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,350461.81,PEGO MEDICAL SA DE CV
4586,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,45463.18,"MR. LIMPIEZA, S.A. DE C.V."
4587,Instituto de Administración y Avalúos de Bienes Nacionales,0,CELESTE VALUACIONES SA DE CV
4588,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,342977.36,ALTA TECNOLOGIA EN ABASTECIMIENTOS Y SERVICIOS SA DE CV
4590,Secretaría de Desarrollo Social,0,FULL DIGITAL MEDIA S A P I DE CV
4592,Instituto Nacional de Cardiología Ignacio Chávez,895752,MEDICAL PHARMACEUTICA SA DE CV
4594,Instituto Mexicano de la Radio,38280,_ _ _
4595,Instituto Mexicano de la Radio,24360,_ _ _
4596,Instituto Mexicano de la Radio,55680,_ _ _
4597,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,158258.1,"PROTECCION Y VIGILANCIA DE LA PENINSULA, S.A. DE C.V."
4598,Instituto Nacional de Pediatría,634539,PROYECTOS PARA LA INGENIERIA ARQUITECTURA Y SERVICIOS ANEXOS SA DE CV
4599,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",154744,B & C CONSTRUCCION S DE RL
4600,Instituto Mexicano de la Radio,14500,_ _ _
4601,Dirección General de Fábricas de Vestuario y Equipo,78367973.3,"MEXICO MONTECITOS, S.A. DE C.V."
4602,ProMéxico,439695.1,"MAGCE SERVICIOS, SA DE CV"
4603,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,MARIO ARTURO SAAVEDRA MORALES
4604,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,29200,MEDICAL PHARMACEUTICA SA DE CV
4606,Secretaría de Comunicaciones y Transportes,0,GRUPO LUIS VELA S DE RL DE CV
4607,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,38378,MERCADOTECNIA DE PRODUCTOS Y SERVICIOS  S.A. DE C.V.
4608,Instituto de Administración y Avalúos de Bienes Nacionales,0,ROBERTO LUIS MORALES LEVER
4609,Instituto Mexicano de la Radio,13110.15,_ _ _
4610,Instituto de Administración y Avalúos de Bienes Nacionales,0,GLOBAL APPRAISALS SA DE CV
4611,Instituto Mexicano de la Radio,24360,SONIA LAURA YAÑEZ SANCHEZ
4612,Servicio de Administración Tributaria,195143.3,SUMINISTROS Y MANTENIMIENTOS ESPECIALIZADOS SA DE CV
4614,Organismo Promotor de Inversiónes en Telecomunicaciones,15941276.89,GRUPO CAPRINET SC
4616,Servicio de Administración Tributaria,2085994.25,GUARD PRIVATE SECURITY ELITE DE MEXICO SEMEP SA DE CV
4617,Secretaría de Cultura,0,JUAN ADRIEL DIAZ GALLARDO
4618,Instituto Nacional de Medicina Genómica,6850.03,"SILVERA CIENCIA E INGENIERIA, S.A. DE C.V."
4619,Centro de Enseñanza Técnica Industrial,41342.4,MAS PROMOTORA DE ARTICULOS PUBLICITARIOS SA DE CV
4620,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
4621,Instituto Nacional de Medicina Genómica,6612,INSTRUMENTACION Y SERVICIO EN ANALITICA S A DE C V
4622,Instituto Nacional de Medicina Genómica,13491.78,APPLIED BIOSYSTEMS DE MEXICO  S. DE R.L. DE C.V.
4623,Instituto Mexicano de la Radio,34800,_ _ _
4624,Secretaría de Cultura,0,LOUIS NICOLAS DUQUETTE IMBEAU
4625,Instituto Nacional de Medicina Genómica,148248,QUIMICA VALANER  SA DE CV
4626,Colegio de Bachilleres,802029.1,MR LIMPIEZA SA DE CV
4628,Instituto Nacional de Migración,0,COMERCIAL BERMAM S DE RL DE CV
4629,Instituto Mexicano de la Radio,48720,_ _ _
4631,Instituto Mexicano de la Radio,69600,_ _ _
4632,Instituto Mexicano de la Radio,17400,_ _ _
4633,XE-IPN Canal 11,0,JOSEFINA LOPEZ NAVARRO
4634,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,57229.13,"EMD, S.A.P.I. DE C.V."
4635,Televisión Metropolitana S.A. de C.V.,280000.8,LAURA ANDREA  VIDAURRETA IRIGARAY
4636,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",14848,OBED SANCHEZ REYES
4637,Centro SCT Oaxaca,3307084.49,OFIR CONSTRUCCIONES S.A. DE C.V.
4638,Comisión Nacional del Agua,49432.24,BODEGA DE LLANTAS LA VIGA  S.A. DE C.V.
4639,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",49980,OPERADORA DE TURISMO SA DE CV
4640,Instituto Mexicano de la Radio,48720,_ _ _
4641,Instituto Mexicano de la Radio,27840,_ _ _
4642,Instituto Nacional de las Mujeres,313200,BINNISOFT SYSTEMS S.A. DE C.V.
4643,Instituto Mexicano de la Radio,17400,_ _ _
4644,Instituto Nacional de Cancerología,10817.23,ME SCIENTIFIC SA DE CV
4645,Dirección General de Carreteras,4637768.18,GRUPO JHOSPI S.A. DE C.V.
4646,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,13966.42,COMPAÑIA INTERNACIONAL MEDICA SA DE CV
4647,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,41999.2,COMERCIALIZADORA PHARMACEUTICA COMPHARMA SA DE CV
4648,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,82759.04,INTEGRACION E INNOVACIONES MEDICAS SA DE CV
4649,Instituto de Administración y Avalúos de Bienes Nacionales,0,CELESTE VALUACIONES SA DE CV
4652,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,154709.2,DUMSA DISTRIBUIDORA UNIVERSAL MEXICANA SA DE CV
4653,XE-IPN Canal 11,0,BLANCA ESTELA HERNANDEZ RODRIGUEZ
4654,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,90316.46,"HI TEC MEDICAL, S.A. DE C.V."
4655,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,112920.25,CORPORATIVO NEOMEDICA SA DE CV
4656,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,69485.62,PROGRAMACION COMERCIAL APLICADA  S.A. DE C.V.
4659,delegación Federal del Trabajo en Chihuahua,43848,VIGILANCIA PRIVADA Y ASESORIA DE PARRAL SA DE CV
4661,Instituto Nacional de Cancerología,0,QUIMICA INDUSTRIAL Y DE SALUD S.A. DE C.V.
4662,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,388332,FARMACEUTICOS MAYPO SA DE CV
4664,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",36503.49,MARIA DEL PILAR VAZQUEZ CASTAÑON
4665,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,3980,DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV
4666,Sistema Público de Radiodifusión del Estado Mexicano,0,"AGENTE LIBRE FILME & TAPE, S.C."
4667,Secretaría de Marina,0,CARL ZEISS DE MEXICO SA DE CV
4668,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
4669,Centro de Enseñanza Técnica Industrial,249942.82,"ESTRATEGIAS EN TECNOLOGIA CORPORATIVA, S.A. DE C.V."
4670,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,78134,GRUPO FARMACOS ESPECIALIZADOS S.A. DE C.V.
4671,Instituto Nacional de Ecología y Cambio Climático,215180,INGENIERIA Y SERVICIOS DIGITALES SA DE CV
4673,Fideicomiso Fondo Nacional de Habitaciones Populares,12726540.33,FIDEICOMISO FONDO NACIONAL DE HABITACIONES POPULARES
4674,Secretaría de Comunicaciones y Transportes,0,BREA DEL PACIFICO SA DE CV
4675,Sistema Público de Radiodifusión del Estado Mexicano,9969817.78,INSTITUTO DE MEDIOS EDUCATIVOS Y DE INVESTIGACION
4676,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,294079.77,PROVEEDORA MEXICANA DE ARTICULOS DE CURACION Y LABORATORIO SA DE CV
4677,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,8950,DISTRIBUIDORA DE MEDICAMENTOS ITZAMNA SA DE CV
4678,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,2026564.52,DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV
4679,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,23200,JOSE ANTONIO MEDINA MARTINEZ
4680,Instituto Nacional de las Personas Adultas Mayores,0,ADRIAN ULISES ALVAREZ GAMEZ
4681,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,3767.84,HOLIDAY DE MEXICO SA DE CV
4683,Dirección General de Carreteras,2593612.42,KALEIN CONSULTORES S.A. DE C.V.
4684,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,8812.52,PROQUIYMSA SA DE CV
4685,Fondo Nacional de Fomento al Turismo,4076146.04,ATA BIOINGENIERIA S.A. DE C.V.
4687,Dirección General de Carreteras,2009977.05,CORPORATIVO OSORIO E INGENIERIA S. DE R.L. DE C.V.
4688,Consejo Nacional para Prevenir la Discriminación,69948,FABIOLA JUAREZ PEREZ
4689,Consejo Nacional para Prevenir la Discriminación,127600,"HEARCOLORS, S.A.P.I. DE C.V."
4692,Hospital Juárez de México,1437163.44,"DISEÑO Y DESARROLLO MEDICO, S.A. DE C.V."
4694,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,109985.76,DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV
4695,"Centros de Integración Juvenil, A.C.",56094.3,CORPORATIVO DIAMANTE DEL SURESTE S.A. DE C.V.
4696,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,223131.2,INGENIERIA EN DISEÑO DE INSTALACIONES DE BAJA TENSION Y EQUIPOS DE AIRE ACONDICIONADO S.A. DE C.V.
4697,"Estudios Churubusco Azteca, S.A.",247079.2,DANIELA MARISOL MIRANDA RIVERA
4698,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,ISMAEL ANTONIO CISNEROS ROSALES
4699,Sistema Nacional para el Desarrollo Integral de la Familia,54725.78,"SERMUKAI, S.A. DE C.V."
4700,XE-IPN Canal 11,0,JUAN CARLOS ALONSO LOPEZ
4702,Instituto Nacional de Geriatría,31175,SERGIO MORA BONILLA
4703,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,31135.59,DENTILAB S.A. DE C.V.
4704,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,202798.12,"RALCA, S.A. DE C.V."
4705,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,462840,ANDROMEDIC SA DE CV
4706,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,603.2,BAXTER SA DE CV
4707,Instituto Nacional de Bellas Artes y Literatura,0,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO
4709,Dirección General de Comunicación Social,6056444.66,CUADRO NARANJA COMUNICACION S.A. DE C.V.
4710,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,JOSE GUADALUPE DELGADILLO GUTIERREZ
4711,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,125947,ASOKAM  S A  DE  C V
4712,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,122600.34,COMERCIALIZADORA DE PRODUCTOS INSTITUCIONALES SA DE CV
4714,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,42593.07,DIAGNOCELL LABORATORIOS  S.A. DE C.V.
4715,Consejo Nacional para Prevenir la Discriminación,241439.09999999998,NORMA VIRIDIANA MONTES ORTIZ
4716,Instituto Nacional de Pesca,741240,AMIGO Y AMIGO CONSULTORES SC
4717,Centro Regional de Alta Especialidad de Chiapas,2061748.05,"GE SISTEMAS MEDICOS DE MEXICO, S.A. DE C.V."
4718,Instituto Nacional de Medicina Genómica,8554.87,"SILVERA CIENCIA E INGENIERIA, S.A. DE C.V."
4719,Servicio de Administración Tributaria,126700.67000000001,LIMPIEZA CORPORATIVA DE SIN SA DE CV
4720,Servicio de Administración Tributaria,252118.04,INFRA SA DE CV
4721,Instituto Nacional de las Mujeres,295800,INSTITUTO CENCALLI S.C.
4722,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
4723,Colegio de Bachilleres,148137.6,DISTRIBUIDORA DADE SA DE CV
4724,Servicio de Administración Tributaria,1191433.85,GUARD PRIVATE SECURITY ELITE DE MEXICO SEMEP SA DE CV
4725,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO VALENZUELA PORCHAS SA DE CV
4726,Instituto Nacional de Bellas Artes y Literatura,15818.18,MARIANA HERNANDEZ HERNANDEZ
4727,Servicio de Protección Federal,296960,SOLUCIONES AVANZADAS EN IDENTIFICACION Y ACCESO S.A. DE C.V.
4728,Servicio de Protección Federal,127855.2,LUIS JAVIER VAZQUEZ PANIAGUA
4729,Instituto Nacional de Salud Pública,38164,"CENTRO DE INFORMACIÓN Y EMPLEO DE MÉXICO, S. DE R.L. DE C.V."
4730,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,470379.99,DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV
4732,Comisión Nacional Forestal,95401.54000000001,VICTOR HUGO RIOS MORALES
4733,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,933808.6,DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV
4734,Comisión Nacional Bancaria y de Valores,0,FRANCO NARVAEZ JUAN GERARDO
4735,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,20880,DISTRIBUIDORA AMERICA & DOBA SA DE CV
4736,Secretaría de la Función Pública,0,DIANA MARIA VILLAGOMEZ RUIZ
4737,Instituto Nacional para la Educación de los Adultos,122449,NORBERTO NIETO VAZQUEZ
4738,Instituto Nacional de Medicina Genómica,10386.13,SILVERA CIENCIA E INGENIERIA SA DE CV
4740,Instituto Nacional para la Educación de los Adultos,61225,LAURA GABRIELA JAIME RIVERA
4742,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,37320,FERNANDO ANTONIO GALLEGOS REYES
4743,Instituto Nacional para la Educación de los Adultos,10908.79,ABRAHAM OVANDO TORRES
4744,Secretaría de la Defensa Nacional,0,SERVICIOS TECNICOS K SA DE CV
4745,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,37320,JESSICA MEDINA PARTIDA
4747,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,34800,MA. ISABEL LEDEZMA ALATORRE
4750,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,31124.24,PRODUCTOS E INSUMOS PARA LA SALUD  S.A.  DE C.V.
4752,Centro Regional de Alta Especialidad de Chiapas,265414.38,ESBEIDA ALEMAN NARCIA
4753,Comisión Nacional del Agua,56671.8,REDPACK  S.A. DE C.V.
4754,Comisión Nacional Bancaria y de Valores,0,Rocha Medina José Alberto
4755,Instituto Mexicano de la Radio,28188,MARIA GRABRIELA GARCIA CARRERA
4756,Instituto Nacional de Bellas Artes y Literatura,0,DUO ALTO NIVEL EN SERVICIOS SA DE CV
4757,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,46800,ALEX MORGAN GARCIA JACOBO
4758,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,41760,J. ALBERTO OROZCO OROZCO
4759,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,TECNOLOGIA APLICADA A NEGOCIOS SA DE CV
4760,Instituto Mexicano de la Radio,52565.04,KARLA ELIZABETH FRIAS BELTRAN
4761,Instituto Mexicano de la Radio,54288,_ _ _
4763,Secretaría de Salud,0,ALFRA MEDICAL SA DE CV
4764,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,28800,JOSE ANGEL DE LA CRUZ JIMENEZ
4765,Centro SCT Veracruz,2453549.15,"SUPERVISION, CONSTRUCCION Y EDIFICACION LEO S.A. DE C.V."
4766,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,28800,ELDA MARGARITA ULLUA ROJAS
4767,Instituto de Administración y Avalúos de Bienes Nacionales,0,FRANCISCO DE ASIS CAMPOS CORNEJO
4768,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,99434,SUMINISTROS MEDICOS DEL CENTRO SA DE CV
4769,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,108973.14,GRUPO FARMACOS ESPECIALIZADOS S.A. DE C.V.
4770,Instituto Nacional de Pediatría,223759.72,"RALCA, S.A. DE C.V."
4771,Instituto Nacional de Medicina Genómica,4524,PRODUCTOS Y EQUIPOS BIOTECNOLOGICOS  S.A. DE C.V.
4773,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,27576.14,"SELECCIONES MEDICAS DEL CENTRO, S.A. DE C.V."
4775,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,117660.51,"GE SISTEMAS MEDICOS DE MEXICO, S.A. DE C.V."
4777,Instituto Nacional de Medicina Genómica,408.9,"C&M DISTRIBUCION CIENTIFICA, S.A. DE C.V."
4778,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
4779,Secretaría de Marina,0,NEFHEISYS SA DE CV
4780,Instituto Nacional de Medicina Genómica,17547.49,APPLIED BIOSYSTEMS DE MEXICO  S. DE R.L. DE C.V.
4781,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
4782,Centro SCT Tamaulipas,252674.81,OL PROMOTORA DE COMERCIO Y SERVICIOS S.A. DE C.V.
4783,Instituto Nacional de Medicina Genómica,669050.88,QIAGEN MEXICO S DE RL DE CV
4785,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,41760,ALICIA GARCIA  ORTIZ
4786,Instituto Nacional de Pediatría,332555.76,DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV
4787,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,FELIPE FRANCO ZALDIVAR
4788,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,54000,MARIA DE LOS ANGELES CARRILLO PLATA
4789,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,45600,ELEUTERIO DE LA CRUZ GARCIA
4791,Dirección General de Servicios Técnicos,1352437.72,GRUPO CONSTRUCTOR PREMURHE S.A DE C.V
4792,Secretaría de Medio Ambiente y Recursos Naturales,0,IMPRESORA SILVAFORM SA DE CV
4794,Instituto Nacional de Bellas Artes y Literatura,0,GERARDO ALEJANDRO BERNAL ROBLES
4795,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,155000,ARTURO PEREZ OLGUIN
4796,Instituto Mexicano de la Radio,22620,ROSE MARY ESPINOSA ELIAS
4797,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,28200,LABORATORIOS SANFER  S A DE C.V.
4798,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,199999.97,LUIS ALBERTO YAÑEZ HERNANDEZ
4799,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
4800,Instituto Mexicano de la Radio,55680,ERIK ZABDYEL MONTENEGRO  BARRANCO
4802,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,110000,JUANA SOCORRO DIAZ POLO
4803,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,110000,ADRIAN ORDAZ ARRIAGA
4804,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,MARCO ALFREDO DE LEON HERNANDEZ
4806,Instituto Nacional de Migración,0,COMERCIALIZADORA CATO SA DE CV
4807,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,51736,GRUPO BERTELL SA DE CV
4808,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,139999.94,LUIS YAÑEZ GONZALEZ
4809,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,109999.83,ARTURO PEREZ OLGUIN
4810,Instituto Nacional de Cardiología Ignacio Chávez,15860,JHADYD  S A  DE  C V
